attibutename,attributevalue
blouse_color,Green
blouse_color,Pink
blouse_color,Blue
blouse_color,Maroon
blouse_color,Not Available
blouse_color,Multicolor
blouse_color,Grey
blouse_color,Red
blouse_color,Purple
blouse_color,Orange
blouse_color,Black
blouse_color,Yellow
blouse_color,White
blouse_color,Cream
blouse_color,Aqua Blue
blouse_color,Teal
blouse_color,Peach
blouse_color,Brown
blouse_color,Navy Blue
blouse_color,Gold
blouse_color,Nude
blouse_color,black
blouse_color,Silver
blouse_color,Beige
blouse_color,Lavendar
blouse_color,blue
blouse_color,Coral
blouse_color,Olive
blouse_color,pink
blouse_color,
blouse_color,Lemon Yellow
blouse_color,orange
blouse_color,Metallic
blouse_color,Rust
blouse_color,Mustard
blouse_color,red
blouse_color,green
blouse_color,Mehendi
blouse_color,Mint green
blouse_color,Grey Melange
blouse_color,maroon
blouse_color,not Available
blouse_color,yellow
border,Embroidered
border,Zari
border,Lace
border,No Border
border,Solid
border,Embellished
border,Woven Design
border,Printed
border,Not Available
border,Temple Border
border,Small Border
color,Yellow
color,Blue
color,Pink
color,Black
color,White
color,pink
color,Maroon
color,Multicolor
color,Grey
color,Red
color,Green
color,Orange
color,blue
color,Peach
color,green
color,Cream
color,Navy Blue
color,Purple
color,multicolor
color,white
color,Aqua Blue
color,Khaki
color,Mint Green
color,Teal
color,red
color,Beige
color,black
color,yellow
color,Mustard
color,orange
color,Brown
color,Lavendar
color,Silver
color,Metallic
color,maroon
color,purple
color,beige
color,Gold
color,brown
color,Lemon Yellow
color,Coral
color,grey
color,Blouse Color
color,Nude
color,Not Available
color,Mehendi
color,Olive
color,Rust
color,Indigo
occasion,Party
occasion,Daily
occasion,Traditional
occasion,Celebrity Inspired
occasion,Wedding
occasion,Bridal Saree
occasion,
occasion,Not Available
occasion,Celebrity inspired
